Lemma	PoS	Freq(ipm)	Doc
быть	v	12160,7	34184
год	s	3727,5	29477
мочь	v	2912,3	25413
человек	s	2723	20423
сказать	v	2396,6	15426
еще	adv	2323,9	22654
уже	adv	2179,2	23140
время	s	2015,7	24342
говорить	v	1755	17120
знать	v	1713,8	13494
стать	v	1621,8	21235
дело	s	1412,1	18240
жизнь	s	1389,8	14894
очень	adv	1286,8	16281
день	s	1258,4	17383
новый	a	1217,5	21161
рука	s	1200,6	10370
раз	s	1131,8	16783
можно	adv	1125,9	19738
работа	s	1058,3	18222
надо	adv	993,2	12769
хотеть	v	991,3	12290
слово	s	967,9	14564
идти	v	957,1	13815
большой	a	944,4	17589
должен	a	944,2	17057
место	s	926,6	16518
иметь	v	906,7	17493
лицо	s	878	10267
друг	s	874,2	9689
нет	adv	874	14475
глаз	s	857,6	7664
тоже	adv	841,5	11399
видеть	v	818,2	9914
вопрос	s	805,8	15789
дом	s	792,6	10527
сторона	s	768,3	13501
думать	v	755,5	9254
сделать	v	743,5	14748
страна	s	725,7	14384
жить	v	725,5	10085
мир	s	714,7	12334
последний	a	712,6	16356
случай	s	709,7	14734
голова	s	709,4	6937
более	adv	706,2	16514
делать	v	701,1	12524
смотреть	v	667,2	9118
ребенок	s	658,3	8002
конечно	adv	647,3	11266
сила	s	645,8	12231
российский	a	644,6	13252
конец	s	634,7	11758
вид	s	620,1	13140
система	s	617,8	11090
работать	v	611,2	13409
понять	v	588,2	7880
пойти	v	587,2	8422
часть	s	585,4	13685
спросить	v	573,9	4653
город	s	573,4	10646
дать	v	573,1	11209
также	adv	569,9	15586
понимать	v	559,7	8240
получить	v	557,7	14913
отношение	s	557,4	11695
сидеть	v	538,1	5916
женщина	s	533,3	6029
оказаться	v	531,9	11735
русский	a	530,5	7621
взять	v	525,8	9275
прийти	v	523,3	9359
являться	v	522,9	12749
деньги	s	512,4	9534
вдруг	adv	503,2	5463
любить	v	503,1	6888
стоить	v	501,9	11503
почти	adv	501,7	10737
земля	s	494,4	7260
общий	a	492,4	12561
машина	s	490,4	6365
сразу	adv	486	9199
хорошо	adv	485,7	9877
вода	s	484,8	6606
отец	s	484,1	4625
высокий	a	483,3	12042
остаться	v	482,7	10602
выйти	v	480,9	8764
проблема	s	474,9	12849
начать	v	473,3	10696
хороший	a	471,4	9948
час	s	468,1	8561
сегодня	adv	463,5	11629
право	s	461,4	9036
совсем	adv	460,5	8291
нога	s	459,2	5061
считать	v	455,3	12187
главный	a	454,6	13312
решение	s	453,4	11312
увидеть	v	452,4	6969
дверь	s	450,8	4289
казаться	v	448,2	7586
образ	s	445,9	11471
писать	v	444,3	6914
история	s	443,9	9150
лучший	a	443,2	11353
власть	s	435,6	8885
закон	s	433,4	8195
война	s	425,9	6135
бог	s	425,4	5224
голос	s	424,5	5099
найти	v	424,1	9693
стоять	v	419,3	5109
вообще	adv	417,6	9454
тысяча	s	416	10400
больше	adv	415,3	8693
вместе	adv	414,3	9827
маленький	a	414,1	8377
книга	s	413,9	5659
решить	v	409,7	10694
возможность	s	407,5	12230
результат	s	403,1	12224
ночь	s	402,8	5349
стол	s	402,5	4738
имя	s	401,7	9402
область	s	400,2	10594
молодой	a	400	7446
пройти	v	398,4	10645
например	adv	398	12235
статья	s	395	5744
число	s	393,5	11948
компания	s	392,7	8542
государственный	a	391,3	8823
полный	a	390,6	10687
принять	v	386,9	11757
народ	s	385,6	6870
советский	a	382,9	5941
жена	s	376,8	4361
настоящий	a	374	10034
группа	s	372,8	9019
развитие	s	372,6	9208
процесс	s	371,7	9126
суд	s	371,1	4735
давать	v	370,7	9941
ответить	v	370,4	5662
старый	a	368,5	7242
условие	s	368,1	10779
средство	s	363,9	9690
помнить	v	363,1	5704
начало	s	361,4	11142
ждать	v	360,2	6976
свет	s	359,7	6490
пора	s	358,2	9884
путь	s	357,3	9090
душа	s	356,8	5830
нужно	adv	353,7	8841
разный	a	352,6	9853
нужный	a	351,9	8431
уровень	s	348,5	10334
форма	s	347,8	8229
связь	s	346,1	9592
минута	s	344,2	5853
находиться	v	342,7	10424
опять	adv	342,2	5255
белый	a	339,6	5693
собственный	a	338,3	9559
улица	s	337,8	6496
черный	a	337,5	5448
написать	v	336,2	6048
вечер	s	335,4	5441
снова	adv	334,4	4950
основной	a	334,1	11318
качество	s	331,7	10717
мысль	s	331,6	5346
дорога	s	330,1	6034
мать	s	330,1	3852
действие	s	329,3	8471
месяц	s	328	8900
оставаться	v	327,4	9585
государство	s	326,4	7518
язык	s	324,9	6036
любовь	s	323,9	5147
взгляд	s	323,8	6774
мама	s	322,6	3198
играть	v	319,1	6407
далекий	a	318,3	6925
лежать	v	318,1	5232
нельзя	adv	317,7	8001
век	s	317,4	6926
школа	s	316	6058
уйти	v	315,6	6163
подумать	v	315,6	4229
цель	s	315,5	9400
общество	s	314,7	6203
посмотреть	v	314,2	5341
деятельность	s	313,5	7568
организация	s	312,4	8542
вернуться	v	311,2	5844
президент	s	311	7600
комната	s	310,7	3661
порядок	s	307,6	8151
момент	s	306,8	8841
театр	s	305,3	3128
следовать	v	305,1	8778
читать	v	304,4	5215
письмо	s	304,3	4522
подобный	a	301,6	9421
следующий	a	301,4	9635
утро	s	301,3	4993
особенно	adv	300,3	9151
помощь	s	300,1	9691
ситуация	s	298,8	9729
роль	s	297,9	7398
бывать	v	297,3	6512
ходить	v	296,6	5439
рубль	s	296,4	6998
начинать	v	296	8243
появиться	v	294,6	8767
смысл	s	294,6	7160
состояние	s	294,4	8231
называть	v	293,4	8780
рядом	adv	291,8	5505
квартира	s	290,9	4447
назад	adv	290,7	8616
равный	a	289,7	7809
орган	s	288,4	6022
внимание	s	286	9306
труд	s	285,9	7004
тело	s	285,9	4943
прийтись	v	285,5	8007
хотеться	v	285,3	6330
сын	s	285,1	4408
мера	s	284,3	9174
смерть	s	284,1	4506
живой	a	284	5736
рынок	s	283,3	6951
программа	s	282,6	8148
задача	s	282,4	8142
предприятие	s	281,6	6408
известный	a	281,1	9400
окно	s	280,8	3883
вести	v	280,3	7897
совершенно	adv	280,3	6840
военный	a	278,7	4753
разговор	s	278,3	5117
показать	v	277,7	8111
правительство	s	277,7	7236
важный	a	277	9219
семья	s	276,6	6153
великий	a	276,3	5873
производство	s	275,6	6484
простой	a	275,3	8450
значит	adv	274,9	5692
огромный	a	272,1	6805
давно	adv	272	7336
политический	a	269,6	5825
информация	s	269,2	7314
действительно	adv	268,6	7527
положение	s	268,2	7742
поставить	v	267,3	7836
бояться	v	266,5	4549
центр	s	265,9	9074
наконец	adv	265,9	6160
происходить	v	263,6	7996
ответ	s	263,3	6951
муж	s	263	3319
автор	s	262,1	6216
стена	s	261	4312
существовать	v	260,9	8482
интерес	s	260,6	8256
становиться	v	259,3	7869
федерация	s	258,9	4175
правило	s	258,8	7928
часто	adv	257,8	7399
московский	a	257,3	7936
управление	s	256,5	7225
слышать	v	256,1	4462
